Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.10772295939836322, 0.0001395506630104602, 14.421860216226063, 1.022876790060898, 1000.0, 1.0, 1.0, 1.0
1, 0.1007766066480552, 5.026063539533485e-05, 14.404022263759188, 1.022659966310239, 1000.0, 1.0, 1.0, 1.0
2, 0.09430050518893847, 1.2623295051012427e-05, 14.383466917946295, 1.022362494747017, 1000.0, 1.0, 1.0, 1.0
3, 0.08794792868827116, 1.526878809023696e-05, 14.35812309289231, 1.0219616073322515, 1000.0, 1.0, 1.0, 1.0
4, 0.08172439790639557, 5.62742395104627e-05, 14.327510953508959, 1.0214377558129897, 1000.0, 1.0, 1.0, 1.0
5, 0.07565717450475, 0.00013780374987027436, 14.290925249674492, 1.020768632500425, 1000.0, 1.0, 1.0, 1.0
6, 0.0697616612951184, 0.00026347686463785633, 14.24746596845115, 1.019930610921372, 1000.0, 1.0, 1.0, 1.0
7, 0.06404889631443761, 0.00043821749276896644, 14.196004077938214, 1.0188978368531307, 1000.0, 1.0, 1.0, 1.0
8, 0.05853091758252659, 0.0006688100339196381, 14.135127561933368, 1.0176403057571604, 1000.0, 1.0, 1.0, 1.0
9, 0.053222488480045925, 0.000964900545088132, 14.063063983366746, 1.0161227646260964, 1000.0, 1.0, 1.0, 1.0
10, 0.04814051760963101, 0.0013406977106469723, 13.977561161148452, 1.0143044278282962, 1000.0, 1.0, 1.0, 1.0
11, 0.04330279957715003, 0.0018179817409034178, 13.87572661999033, 1.0121393082457908, 1000.0, 1.0, 1.0, 1.0
12, 0.03872658909878575, 0.002431280573114034, 13.753833536394701, 1.0095772231479543, 1000.0, 1.0, 1.0, 1.0
13, 0.03442729303783172, 0.0032368242979311486, 13.607100122166973, 1.0065656671986374, 1000.0, 1.0, 1.0, 1.0
14, 0.03041740877158174, 0.004328462060784223, 13.429440728175813, 1.0030524728119936, 1000.0, 1.0, 1.0, 1.0
15, 0.026705768936972095, 0.005866511288333749, 13.213201532115814, 0.9989890492939887, 1000.0, 1.0, 1.0, 1.0
16, 0.023297184043566895, 0.00813060009018423, 12.948951635741635, 0.9943340667191988, 1000.0, 1.0, 1.0, 1.0
17, 0.020192482401137354, 0.011616664489470874, 12.62551780783055, 0.9890574180840199, 1000.0, 1.0, 1.0, 1.0
18, 0.017388849225468253, 0.01721380917947953, 12.230691121738701, 0.9831441121413389, 1000.0, 1.0, 1.0, 1.0
19, 0.014880345566229082, 0.02652198083195071, 11.753454247342416, 0.9765980686540189, 1000.0, 1.0, 1.0, 1.0
20, 0.012658509278464975, 0.042407836441066514, 11.18922151789032, 0.9694464121147442, 1000.0, 1.0, 1.0, 1.0
21, 0.010712958449918646, 0.0699360128633973, 10.550360287180567, 0.9617444599271171, 1000.0, 1.0, 1.0, 1.0
22, 0.009031948916140576, 0.11782081317207671, 9.88439209432192, 0.9535822109882929, 1000.0, 1.0, 1.0, 1.0
