Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 1.2318578772075382e-05, 14.419129100083433, 1.0228767811183463, 500.0, 1.0, 1.0, 1.0
1, 0.09188526644630723, 1.0057253527542915e-05, 14.401037740193134, 1.0226462119080189, 500.0, 1.0, 1.0, 1.0
2, 0.08614669573853517, 8.72892832213121e-06, 14.380194323569695, 1.022342358542278, 500.0, 1.0, 1.0, 1.0
3, 0.08042215083433268, 8.179116048158232e-06, 14.354622155008409, 1.0219448261761659, 500.0, 1.0, 1.0, 1.0
4, 0.07471961428975189, 8.358893485055131e-06, 14.323545369920382, 1.021428915622627, 500.0, 1.0, 1.0, 1.0
5, 0.06905677775913016, 9.156406013733373e-06, 14.285928384757709, 1.0207698644420986, 500.0, 1.0, 1.0, 1.0
6, 0.06346041827104378, 1.0376265416183262e-05, 14.240446820671194, 1.0199423293349856, 500.0, 1.0, 1.0, 1.0
7, 0.05796750060396863, 1.1837235407311627e-05, 14.185516599429299, 1.018919610044534, 500.0, 1.0, 1.0, 1.0
8, 0.05261760649984465, 1.3442850035313882e-05, 14.119279055657513, 1.017671926814331, 500.0, 1.0, 1.0, 1.0
9, 0.04744884630708635, 1.5233989598268148e-05, 14.03952645456923, 1.0161648081352215, 500.0, 1.0, 1.0, 1.0
10, 0.04249658384742241, 1.7474628222927305e-05, 13.943582491272045, 1.0143581323357007, 500.0, 1.0, 1.0, 1.0
11, 0.03779259679438095, 2.0864602264334404e-05, 13.82813253003746, 1.0122059191753396, 500.0, 1.0, 1.0, 1.0
12, 0.033364130657526914, 2.704689627934005e-05, 13.688984713101478, 1.009657384270545, 500.0, 1.0, 1.0, 1.0
13, 0.029233076771832033, 3.974561412961872e-05, 13.520749278735918, 1.0066591622245642, 500.0, 1.0, 1.0, 1.0
14, 0.02541544939217161, 6.720754677833778e-05, 13.316371978073064, 1.003158326976196, 500.0, 1.0, 1.0, 1.0
15, 0.02192128713733876, 0.00012726914382883478, 13.066471464543273, 0.9991061085372009, 500.0, 1.0, 1.0, 1.0
16, 0.018754978023212337, 0.00025758465655656995, 12.758542010763147, 0.99446233136687, 500.0, 1.0, 1.0, 1.0
17, 0.01591587796884901, 0.0005357392924294634, 12.376366890184002, 0.9891999681364704, 500.0, 1.0, 1.0, 1.0
18, 0.01339909849543595, 0.001117701612691274, 11.900462683547012, 0.9833098020014168, 500.0, 1.0, 1.0, 1.0
19, 0.011196251895506364, 0.002308964074884857, 11.311272732043754, 0.9768045518179382, 500.0, 1.0, 1.0, 1.0
20, 0.00929598340838148, 0.004690903312802672, 10.59797399957958, 0.9697204399881425, 500.0, 1.0, 1.0, 1.0
21, 0.007684349882166428, 0.009333795764799405, 9.776465340728024, 0.9621164212706007, 500.0, 1.0, 1.0, 1.0
22, 0.0063452158030040725, 0.018131078803204425, 8.919026092593983, 0.9540769512245958, 500.0, 1.0, 1.0, 1.0
23, 0.005260923945568284, 0.0342567890034213, 8.189375875659888, 0.9457354288241814, 500.0, 1.0, 1.0, 1.0
24, 0.004414201245810985, 0.06249108184851947, 7.834737422353001, 0.9373824733902496, 500.0, 1.0, 1.0, 1.0
25, 0.003791681970665946, 0.10777495730716022, 7.944403589998098, 0.9298468183126011, 500.0, 1.0, 1.0, 1.0
26, 0.003372321408405906, 0.16958374519935737, 7.974674125600956, 0.9245927434376568, 500.0, 1.0, 1.0, 1.0
27, 0.0031037021290039792, 0.24232804618147089, 7.361160436742007, 0.9220207547700733, 500.0, 1.0, 1.0, 1.0
28, 0.0029328384570811166, 0.32248226915180345, 6.362021030185354, 0.9214840991810148, 500.0, 1.0, 1.0, 1.0
29, 0.0028241865964468405, 0.40985557477325063, 5.6515971801595715, 0.9222502519345455, 500.0, 1.0, 1.0, 1.0
30, 0.0027548757980483123, 0.5053454574608814, 5.599257544794502, 0.9236143373902855, 500.0, 1.0, 1.0, 1.0
31, 0.0027115217214706082, 0.6077693808372246, 5.841419170864134, 0.9248108500676445, 500.0, 1.0, 1.0, 1.0
32, 0.0026897567746992776, 0.7091822078049933, 5.75036898458703, 0.9254248765688138, 500.0, 1.0, 1.0, 1.0
33, 0.002688941832303821, 0.7973197493026173, 5.1446787547984085, 0.9255408067892614, 500.0, 1.0, 1.0, 1.0
34, 0.002706706255728929, 0.8624475457444939, 4.348513599165986, 0.9255317835384508, 500.0, 1.0, 1.0, 1.0
35, 0.0027364360848912256, 0.8952279407723013, 3.838188094970118, 0.9260162775810967, 500.0, 1.0, 1.0, 1.0
36, 0.002766658986733924, 0.8821837882135687, 3.7054105036205316, 0.9278335946272365, 500.0, 1.0, 1.0, 1.0
37, 0.0027852578636916605, 0.8172788769635376, 3.4646553248174077, 0.9315540331448142, 500.0, 1.0, 1.0, 1.0
38, 0.002787430757495891, 0.7170491870003284, 2.874139507227698, 0.9369526088781255, 500.0, 1.0, 1.0, 1.0
39, 0.0027761302126042106, 0.6068823189555991, 2.3147073065455324, 0.9433913876253411, 500.0, 1.0, 1.0, 1.0
40, 0.002758623413323436, 0.5062057798338737, 2.0908028908227587, 0.9501159300285025, 500.0, 1.0, 1.0, 1.0
41, 0.0027429882457635124, 0.4254023557671767, 2.0027226805157508, 0.9563327855061851, 500.0, 1.0, 1.0, 1.0
42, 0.0027335418970383762, 0.3664001624751446, 1.700210682128518, 0.9615655515596673, 500.0, 1.0, 1.0, 1.0
43, 0.00272981648335337, 0.3251920814720319, 1.2041422591769588, 0.9659197746688362, 500.0, 1.0, 1.0, 1.0
44, 0.0027290024574477324, 0.29482107818911074, 0.8756178147302534, 0.9698991747306813, 500.0, 1.0, 1.0, 1.0
45, 0.002727760562582763, 0.26625249077123925, 0.8455434550160376, 0.9740993581858641, 500.0, 1.0, 1.0, 1.0
46, 0.002725993511197501, 0.23277368328709633, 0.6736210173303966, 0.9787663430328308, 500.0, 1.0, 1.0, 1.0
47, 0.002730551153003946, 0.1968816309939129, 0.36448950577659905, 0.9835816148704354, 500.0, 1.0, 1.0, 1.0
48, 0.0027479124024605566, 0.16687610319952123, 0.38485085576360534, 0.9879032861152695, 500.0, 1.0, 1.0, 1.0
49, 0.0027718949098390214, 0.14946305315321387, 0.4161456858927116, 0.9910735856765797, 500.0, 1.0, 1.0, 1.0
50, 0.0027920453921520543, 0.1435315342625488, 0.17497838203410468, 0.993144661279526, 500.0, 1.0, 1.0, 1.0
51, 0.0028102574608129594, 0.14175075257665687, 0.1864399033111561, 0.9947926019415366, 500.0, 1.0, 1.0, 1.0
52, 0.002836055346118727, 0.13306303927495128, 0.26263281808306754, 0.9967345787795248, 500.0, 1.0, 1.0, 1.0
53, 0.0028750868762171724, 0.11584888439274489, 0.08471296613212155, 0.998997642820591, 500.0, 1.0, 1.0, 1.0
54, 0.0029194333957098424, 0.10008485032440403, 0.17542920923026206, 1.00101607870887, 500.0, 1.0, 1.0, 1.0
55, 0.0029468869069992324, 0.09271631972091081, 0.15526746919150977, 1.0022954821878802, 500.0, 1.0, 1.0, 1.0
56, 0.0029546892696256386, 0.09182805869880453, 0.03616060037118402, 1.0029930661719433, 500.0, 1.0, 1.0, 1.0
57, 0.002960876985193372, 0.09065780259240928, 0.13335618059373494, 1.003607147613091, 500.0, 1.0, 1.0, 1.0
58, 0.0029772880632618695, 0.08393000580970647, 0.062454430386799945, 1.0044345416716358, 500.0, 1.0, 1.0, 1.0
59, 0.002996941993333602, 0.07539164716065966, 0.03313353938105938, 1.0052659953594894, 500.0, 1.0, 1.0, 1.0
60, 0.0030018658093234, 0.07090598481062693, 0.09717728797658384, 1.005725746958017, 500.0, 1.0, 1.0, 1.0
61, 0.0029854948935916, 0.07180890873050823, 0.02952198855259312, 1.0057064866188348, 500.0, 1.0, 1.0, 1.0
62, 0.0029607725071525994, 0.07533289020619857, 0.03815029337284679, 1.0054203049955426, 500.0, 1.0, 1.0, 1.0
63, 0.002940695303986493, 0.0768535258685178, 0.06755247956800792, 1.0051697697645972, 500.0, 1.0, 1.0, 1.0
