Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 0.312288290451883, 3.619201404120943, 1.0228767811183463, 1000.0, 0.001, 0.001, 1.0
1, 0.09188559160080007, 0.2546025085481886, 3.614662673539172, 1.0226487557679806, 1000.0, 0.001, 0.001, 1.0
2, 0.08614679599835914, 0.2215939181447438, 3.6094340706114822, 1.022348417020343, 1000.0, 0.001, 0.001, 1.0
3, 0.08042081614087845, 0.20834807911326367, 3.6030134775936986, 1.02195508148506, 1000.0, 0.001, 0.001, 1.0
4, 0.07471658609362943, 0.21350462631701408, 3.595205470146535, 1.0214441434474189, 1000.0, 0.001, 0.001, 1.0
5, 0.06905241470002194, 0.23420637505878808, 3.585751430000666, 1.0207908912585322, 1000.0, 0.001, 0.001, 1.0
6, 0.0634555610357045, 0.26544636988488723, 3.5743215262261967, 1.0199699225838903, 1000.0, 0.001, 0.001, 1.0
7, 0.05796334465890447, 0.3027000349153098, 3.5605241544274056, 1.0189544218517548, 1000.0, 0.001, 0.001, 1.0
8, 0.05261557259881194, 0.3436412775730867, 3.5439041079500186, 1.0177145954786786, 1000.0, 0.001, 0.001, 1.0
9, 0.047450544382712935, 0.38938424013351935, 3.5239293682243664, 1.0162158513054078, 1000.0, 0.001, 0.001, 1.0
10, 0.042503842754109664, 0.44664567927187604, 3.4999712974347528, 1.0144179013291077, 1000.0, 0.001, 0.001, 1.0
11, 0.037807547302876096, 0.5331418441061424, 3.471280565343135, 1.0122747222955324, 1000.0, 0.001, 0.001, 1.0
12, 0.033389270763229416, 0.6902559205334368, 3.436961077946938, 1.009735621882496, 1000.0, 0.001, 0.001, 1.0
13, 0.02927124680356885, 1.0109062426333875, 3.3959428325029024, 1.006747563841739, 1000.0, 0.001, 0.001, 1.0
14, 0.02546973161612735, 1.6981439942675922, 3.346952911404041, 1.0032583120701442, 1000.0, 0.001, 0.001, 1.0
15, 0.02199480558325259, 3.1837899613654237, 3.2884825913216402, 0.9992202303123666, 1000.0, 0.001, 0.001, 1.0
